Vehicle,Plate,Time
car,UNKNOWN,2026-04-19 02:33:34.373831
car,UNKNOWN,2026-04-19 02:33:34.451587
car,UNKNOWN,2026-04-19 02:33:34.513092
car,UNKNOWN,2026-04-19 02:33:34.569812
car,UNKNOWN,2026-04-19 02:33:34.630641
car,UNKNOWN,2026-04-19 02:33:34.707450
car,UNKNOWN,2026-04-19 02:33:34.779279
car,UNKNOWN,2026-04-19 02:33:34.870541
car,UNKNOWN,2026-04-19 02:33:34.917974
car,UNKNOWN,2026-04-19 02:33:35.139456
car,UNKNOWN,2026-04-19 02:33:35.248842
car,UNKNOWN,2026-04-19 02:33:35.325846
car,UNKNOWN,2026-04-19 02:33:35.385472
car,UNKNOWN,2026-04-19 02:33:35.457839
car,UNKNOWN,2026-04-19 02:33:35.513030
car,UNKNOWN,2026-04-19 02:33:35.591499
car,UNKNOWN,2026-04-19 02:33:35.658232
car,UNKNOWN,2026-04-19 02:33:35.741123
car,UNKNOWN,2026-04-19 02:33:35.792324
car,UNKNOWN,2026-04-19 02:33:35.855314
car,UNKNOWN,2026-04-19 02:33:36.007807
car,UNKNOWN,2026-04-19 02:33:36.076916
car,UNKNOWN,2026-04-19 02:33:36.141360
car,UNKNOWN,2026-04-19 02:33:36.188934
car,UNKNOWN,2026-04-19 02:33:36.250442
car,UNKNOWN,2026-04-19 02:33:36.308258
car,UNKNOWN,2026-04-19 02:33:36.378835
car,UNKNOWN,2026-04-19 02:33:36.423688
car,UNKNOWN,2026-04-19 02:33:36.555740
car,UNKNOWN,2026-04-19 02:33:36.620976
car,UNKNOWN,2026-04-19 02:33:36.680555
car,UNKNOWN,2026-04-19 02:33:36.736203
car,UNKNOWN,2026-04-19 02:33:36.782068
car,UNKNOWN,2026-04-19 02:33:36.844414
car,UNKNOWN,2026-04-19 02:33:36.912926
car,UNKNOWN,2026-04-19 02:33:36.955939
car,UNKNOWN,2026-04-19 02:33:36.998707
truck,UNKNOWN,2026-04-19 02:33:37.041937
car,UNKNOWN,2026-04-19 02:33:37.168490
car,UNKNOWN,2026-04-19 02:33:37.232171
car,UNKNOWN,2026-04-19 02:33:37.294808
car,UNKNOWN,2026-04-19 02:33:37.354823
car,UNKNOWN,2026-04-19 02:33:37.404271
car,UNKNOWN,2026-04-19 02:33:37.469591
car,UNKNOWN,2026-04-19 02:33:37.547206
car,UNKNOWN,2026-04-19 02:33:37.606633
car,UNKNOWN,2026-04-19 02:33:37.675437
car,UNKNOWN,2026-04-19 02:33:37.803795
car,UNKNOWN,2026-04-19 02:33:37.859763
car,UNKNOWN,2026-04-19 02:33:37.924519
car,UNKNOWN,2026-04-19 02:33:37.985103
car,UNKNOWN,2026-04-19 02:33:38.033110
car,UNKNOWN,2026-04-19 02:33:38.098705
car,UNKNOWN,2026-04-19 02:33:38.172236
car,UNKNOWN,2026-04-19 02:33:38.221418
car,UNKNOWN,2026-04-19 02:33:38.278224
truck,UNKNOWN,2026-04-19 02:33:38.327282
car,UNKNOWN,2026-04-19 02:33:38.371379
truck,UNKNOWN,2026-04-19 02:33:38.406741
car,UNKNOWN,2026-04-19 02:33:38.514306
car,UNKNOWN,2026-04-19 02:33:38.574189
car,UNKNOWN,2026-04-19 02:33:38.620657
car,UNKNOWN,2026-04-19 02:33:38.680278
car,UNKNOWN,2026-04-19 02:33:38.724887
car,UNKNOWN,2026-04-19 02:33:38.780279
car,UNKNOWN,2026-04-19 02:33:38.827062
truck,UNKNOWN,2026-04-19 02:33:38.862528
car,UNKNOWN,2026-04-19 02:33:38.926304
car,UNKNOWN,2026-04-19 02:33:38.960200
car,UNKNOWN,2026-04-19 02:33:39.002484
car,UNKNOWN,2026-04-19 02:33:39.071114
car,UNKNOWN,2026-04-19 02:33:39.187748
car,UNKNOWN,2026-04-19 02:33:39.231730
car,UNKNOWN,2026-04-19 02:33:39.273953
car,UNKNOWN,2026-04-19 02:33:39.329298
car,UNKNOWN,2026-04-19 02:33:39.390418
car,UNKNOWN,2026-04-19 02:33:39.452596
car,UNKNOWN,2026-04-19 02:33:39.500370
car,UNKNOWN,2026-04-19 02:33:39.538594
truck,UNKNOWN,2026-04-19 02:33:39.581090
car,UNKNOWN,2026-04-19 02:33:39.651644
car,UNKNOWN,2026-04-19 02:33:39.718185
car,UNKNOWN,2026-04-19 02:33:39.824142
car,UNKNOWN,2026-04-19 02:33:39.885851
car,UNKNOWN,2026-04-19 02:33:39.929533
car,UNKNOWN,2026-04-19 02:33:39.989868
car,UNKNOWN,2026-04-19 02:33:40.050936
car,UNKNOWN,2026-04-19 02:33:40.110442
truck,UNKNOWN,2026-04-19 02:33:40.149176
car,UNKNOWN,2026-04-19 02:33:40.192740
car,UNKNOWN,2026-04-19 02:33:40.256935
car,UNKNOWN,2026-04-19 02:33:40.319637
car,UNKNOWN,2026-04-19 02:33:40.359128
car,UNKNOWN,2026-04-19 02:33:40.468156
car,UNKNOWN,2026-04-19 02:33:40.556746
car,UNKNOWN,2026-04-19 02:33:40.607134
car,UNKNOWN,2026-04-19 02:33:40.670058
car,UNKNOWN,2026-04-19 02:33:40.728545
car,UNKNOWN,2026-04-19 02:33:40.815192
car,UNKNOWN,2026-04-19 02:33:40.884088
car,UNKNOWN,2026-04-19 02:33:40.924084
car,UNKNOWN,2026-04-19 02:33:41.009048
car,UNKNOWN,2026-04-19 02:33:41.043611
car,UNKNOWN,2026-04-19 02:33:41.155048
car,UNKNOWN,2026-04-19 02:33:41.205212
car,UNKNOWN,2026-04-19 02:33:41.249846
car,UNKNOWN,2026-04-19 02:33:41.309311
car,UNKNOWN,2026-04-19 02:33:41.369591
car,UNKNOWN,2026-04-19 02:33:41.429494
car,UNKNOWN,2026-04-19 02:33:41.500011
car,UNKNOWN,2026-04-19 02:33:41.568925
car,UNKNOWN,2026-04-19 02:33:41.607428
truck,UNKNOWN,2026-04-19 02:33:41.682015
car,UNKNOWN,2026-04-19 02:33:41.716922
car,UNKNOWN,2026-04-19 02:33:41.829251
car,UNKNOWN,2026-04-19 02:33:41.878301
car,UNKNOWN,2026-04-19 02:33:41.923503
car,UNKNOWN,2026-04-19 02:33:41.985585
car,UNKNOWN,2026-04-19 02:33:42.059324
car,UNKNOWN,2026-04-19 02:33:42.119931
car,UNKNOWN,2026-04-19 02:33:42.188510
car,UNKNOWN,2026-04-19 02:33:42.227438
truck,UNKNOWN,2026-04-19 02:33:42.272024
car,UNKNOWN,2026-04-19 02:33:42.319265
car,UNKNOWN,2026-04-19 02:33:42.427367
car,UNKNOWN,2026-04-19 02:33:42.494473
car,UNKNOWN,2026-04-19 02:33:42.559204
car,UNKNOWN,2026-04-19 02:33:42.603975
car,UNKNOWN,2026-04-19 02:33:42.661309
car,UNKNOWN,2026-04-19 02:33:42.721293
car,UNKNOWN,2026-04-19 02:33:42.791320
car,UNKNOWN,2026-04-19 02:33:42.832281
car,UNKNOWN,2026-04-19 02:33:42.881294
car,UNKNOWN,2026-04-19 02:33:42.927471
car,UNKNOWN,2026-04-19 02:33:43.037373
car,UNKNOWN,2026-04-19 02:33:43.080074
car,UNKNOWN,2026-04-19 02:33:43.141409
car,UNKNOWN,2026-04-19 02:33:43.196398
car,UNKNOWN,2026-04-19 02:33:43.242081
car,UNKNOWN,2026-04-19 02:33:43.301070
car,UNKNOWN,2026-04-19 02:33:43.340483
car,UNKNOWN,2026-04-19 02:33:43.410709
car,UNKNOWN,2026-04-19 02:33:43.458115
car,UNKNOWN,2026-04-19 02:33:43.537478
car,UNKNOWN,2026-04-19 02:33:43.636321
car,UNKNOWN,2026-04-19 02:33:43.699221
car,UNKNOWN,2026-04-19 02:33:43.764540
car,UNKNOWN,2026-04-19 02:33:43.835323
car,UNKNOWN,2026-04-19 02:33:43.900324
car,UNKNOWN,2026-04-19 02:33:43.938911
car,UNKNOWN,2026-04-19 02:33:44.015287
car,UNKNOWN,2026-04-19 02:33:44.077322
car,UNKNOWN,2026-04-19 02:33:44.137240
car,UNKNOWN,2026-04-19 02:33:44.227085
car,UNKNOWN,2026-04-19 02:33:44.337210
car,UNKNOWN,2026-04-19 02:33:44.382373
car,UNKNOWN,2026-04-19 02:33:44.441233
car,UNKNOWN,2026-04-19 02:33:44.507936
car,UNKNOWN,2026-04-19 02:33:44.570724
car,UNKNOWN,2026-04-19 02:33:44.638216
car,UNKNOWN,2026-04-19 02:33:44.699880
car,UNKNOWN,2026-04-19 02:33:44.764476
car,UNKNOWN,2026-04-19 02:33:44.806061
car,UNKNOWN,2026-04-19 02:33:44.856903
car,UNKNOWN,2026-04-19 02:33:44.969513
car,UNKNOWN,2026-04-19 02:33:45.014314
car,UNKNOWN,2026-04-19 02:33:45.081028
car,UNKNOWN,2026-04-19 02:33:45.150064
car,UNKNOWN,2026-04-19 02:33:45.215531
car,UNKNOWN,2026-04-19 02:33:45.299904
car,UNKNOWN,2026-04-19 02:33:45.347219
car,UNKNOWN,2026-04-19 02:33:45.388126
car,UNKNOWN,2026-04-19 02:33:45.454789
car,UNKNOWN,2026-04-19 02:33:45.516612
car,UNKNOWN,2026-04-19 02:33:45.627424
car,UNKNOWN,2026-04-19 02:33:45.674438
car,UNKNOWN,2026-04-19 02:33:45.740833
car,UNKNOWN,2026-04-19 02:33:45.817933
car,UNKNOWN,2026-04-19 02:33:45.881006
car,UNKNOWN,2026-04-19 02:33:45.925625
car,UNKNOWN,2026-04-19 02:33:45.978847
truck,UNKNOWN,2026-04-19 02:33:46.045004
car,UNKNOWN,2026-04-19 02:33:46.157597
car,UNKNOWN,2026-04-19 02:33:46.293370
car,UNKNOWN,2026-04-19 02:33:46.339928
car,UNKNOWN,2026-04-19 02:33:46.412147
car,UNKNOWN,2026-04-19 02:33:46.473773
car,UNKNOWN,2026-04-19 02:33:46.543495
car,UNKNOWN,2026-04-19 02:33:46.598652
truck,UNKNOWN,2026-04-19 02:33:46.649546
car,UNKNOWN,2026-04-19 02:33:46.694591
car,UNKNOWN,2026-04-19 02:33:46.736779
car,UNKNOWN,2026-04-19 02:33:46.801581
car,UNKNOWN,2026-04-19 02:33:46.904591
car,UNKNOWN,2026-04-19 02:33:46.965365
car,UNKNOWN,2026-04-19 02:33:47.027356
car,UNKNOWN,2026-04-19 02:33:47.093703
car,UNKNOWN,2026-04-19 02:33:47.165084
car,UNKNOWN,2026-04-19 02:33:47.235893
car,UNKNOWN,2026-04-19 02:33:47.300524
car,UNKNOWN,2026-04-19 02:33:47.341915
truck,UNKNOWN,2026-04-19 02:33:47.392870
car,UNKNOWN,2026-04-19 02:33:47.471394
car,UNKNOWN,2026-04-19 02:33:47.573166
car,UNKNOWN,2026-04-19 02:33:47.634823
car,UNKNOWN,2026-04-19 02:33:47.702495
car,UNKNOWN,2026-04-19 02:33:47.752561
car,UNKNOWN,2026-04-19 02:33:47.819226
car,UNKNOWN,2026-04-19 02:33:47.892764
truck,UNKNOWN,2026-04-19 02:33:47.941848
car,UNKNOWN,2026-04-19 02:33:48.012222
car,UNKNOWN,2026-04-19 02:33:48.052832
car,UNKNOWN,2026-04-19 02:33:48.118114
car,UNKNOWN,2026-04-19 02:33:48.231909
car,UNKNOWN,2026-04-19 02:33:48.277775
car,UNKNOWN,2026-04-19 02:33:48.345689
car,UNKNOWN,2026-04-19 02:33:48.411383
car,UNKNOWN,2026-04-19 02:33:48.473070
car,UNKNOWN,2026-04-19 02:33:48.528517
truck,UNKNOWN,2026-04-19 02:33:48.581734
car,UNKNOWN,2026-04-19 02:33:48.646682
car,UNKNOWN,2026-04-19 02:33:48.687800
car,UNKNOWN,2026-04-19 02:33:48.803646
car,UNKNOWN,2026-04-19 02:33:48.851232
car,UNKNOWN,2026-04-19 02:33:48.912350
car,UNKNOWN,2026-04-19 02:33:48.972527
car,UNKNOWN,2026-04-19 02:33:49.037679
car,UNKNOWN,2026-04-19 02:33:49.102415
car,UNKNOWN,2026-04-19 02:33:49.146463
car,UNKNOWN,2026-04-19 02:33:49.229621
car,UNKNOWN,2026-04-19 02:33:49.277108
car,UNKNOWN,2026-04-19 02:33:49.328991
car,UNKNOWN,2026-04-19 02:33:49.395592
car,UNKNOWN,2026-04-19 02:33:49.458761
car,UNKNOWN,2026-04-19 02:33:49.570870
car,UNKNOWN,2026-04-19 02:33:49.615876
car,UNKNOWN,2026-04-19 02:33:49.675747
car,UNKNOWN,2026-04-19 02:33:49.734848
car,UNKNOWN,2026-04-19 02:33:49.795499
car,UNKNOWN,2026-04-19 02:33:49.864919
truck,UNKNOWN,2026-04-19 02:33:49.934489
truck,UNKNOWN,2026-04-19 02:33:49.989641
car,UNKNOWN,2026-04-19 02:33:50.063874
car,UNKNOWN,2026-04-19 02:33:50.106174
car,UNKNOWN,2026-04-19 02:33:50.172684
car,UNKNOWN,2026-04-19 02:33:50.238668
car,UNKNOWN,2026-04-19 02:33:50.281611
